feature,classifier_attribution
ZCRB1,0.0010463895
TCEAL7,0.0010456417
UBQLNL,0.0010455208
SLC6A1,0.0010452702
RAB3B,0.0010428826
TPM1,0.0010411714
ZNF318,0.0010408295
ZNF174,0.0010405071
MMRN2,0.001039253
POLG,0.0010387264
MAPK10,0.0010381399
SPRR2D,0.0010365001
SPEN,0.0010362341
PPOX,0.0010344232
NSL1,0.0010271709
POLR2E,0.001027128
SLC19A3,0.001024508
ZNF76,0.001024132
ZNF8,0.0010230497
SLC7A7,0.0010217371
TNPO2,0.0010216684
OR2W3,0.0010204435
SLC43A3,0.0010192406
STK40,0.0010191458
PAFAH1B3,0.001018338
PIGS,0.0010183371
TFCP2,0.0010179639
RAB7L1,0.0010173866
TPI1,0.0010152677
ZNF610,0.0010149517
RTN4R,0.0010121414
PDCD6,0.0010115064
NFKBIE,0.0010082788
RFX5,0.0010047096
RORB,0.001004702
METTL2B,0.001003346
TBR1,0.0010028358
OTUD3,0.0010025221
PIK3R4,0.0010024278
SLC25A27,0.0009996617
WDR61,0.0009970954
SSTR1,0.0009970408
RAMP3,0.0009943811
NFATC2IP,0.0009928952
SLC8A2,0.0009903663
TUBGCP5,0.0009899064
SNX8,0.0009898186
STAT5A,0.0009890425
ZNF527,0.0009863925
TPD52,0.0009859484
SUPT4H1,0.0009840565
MS4A4A,0.0009832701
TUSC5,0.0009827373
PHKA2,0.0009819366
OR2L13,0.0009792729
OGFOD1,0.000979088
STAT3,0.0009772304
ZC3H12C,0.0009762019
TAS2R14,0.0009755406
MACROD2,0.0009753616
SHROOM1,0.0009752053
SPRY1,0.0009745033
SSH2,0.0009742396
SC4MOL,0.00097254367
PNMA5,0.0009719933
SLC35C1,0.0009702042
NINJ1,0.00096805475
ORMDL2,0.000966601
PEBP1,0.0009656891
WARS,0.0009654107
MTMR3,0.0009647394
WNT7B,0.000964156
TMEM163,0.0009633957
TSSK4,0.0009630033
METTL7B,0.0009623086
RAB7A,0.00096137717
SEC61A1,0.0009605255
PNRC1,0.0009585974
TAGLN3,0.00095737894
RAG1AP1,0.00095718843
SCOC,0.00095664803
ZKSCAN4,0.000956011
MYEF2,0.00095570786
TAF3,0.00095278723
MAPK12,0.00095243135
STXBP4,0.00095167
RGS4,0.0009512286
MAGEA1,0.0009495749
NT5C2,0.0009490069
TMOD4,0.00094857335
RPS6KB1,0.0009473528
PIK3R5,0.0009461735
SUOX,0.0009459681
MPPE1,0.0009454884
PRC1,0.00094535365
YTHDF1,0.00094478804
SYTL4,0.0009439401
RPL36A,0.00094216026
ZNF561,0.00094019825
PRPF40B,0.0009391041
SCN4B,0.00093843206
TBC1D2B,0.00093640544
PAIP1,0.0009360196
TCEAL5,0.0009354354
VAV2,0.0009350784
NELL1,0.00093411794
TLR2,0.00093367236
PLXNB1,0.0009324776
PTH2R,0.00093129656
MBD3,0.00093081663
RBM4B,0.0009295164
OR2AG2,0.0009287667
NHLRC1,0.0009283876
PLCH2,0.00092812267
SSFA2,0.0009273642
SPCS1,0.00092602166
NDUFAF1,0.00092566374
SPP2,0.0009244037
SLC10A5,0.0009243596
TM4SF18,0.00092278933
NEK6,0.00092261296
OXCT1,0.000920836
MON2,0.00091823866
SPINT2,0.0009176746
MYBBP1A,0.0009142965
PDHB,0.0009137433
SLITRK5,0.0009105917
MTMR6,0.00090934936
SRFBP1,0.00090845634
RBP5,0.0009077477
NOTCH4,0.0009074098
ZCCHC7,0.00090645795
RRAGD,0.0009044127
NRK,0.0009029536
SCGB1A1,0.0009029299
UTP14C,0.00090237684
VPS4A,0.00090197794
ZNF276,0.0009017519
ZNF398,0.0009016043
ZCCHC8,0.0009013371
PBX3,0.0009012261
PEX6,0.000901042
UPB1,0.0009003877
PEAR1,0.0008988274
SYNPO2,0.00089846994
RUFY1,0.0008978298
OSBPL1A,0.00089633197
RASL10A,0.00089509465
RHEB,0.0008950177
RNF135,0.00089464954
TUB,0.00089462765
ZSCAN18,0.00089457305
PORCN,0.00089382223
WDR25,0.0008937327
ZNF41,0.0008935709
RGS3,0.0008926967
MYH11,0.000892402
RPGRIP1L,0.00089219306
SMS,0.00089174596
RNF169,0.0008909123
TRIM9,0.0008908121
RTF1,0.0008894794
PDCD2L,0.000889079
TMEM39A,0.00088836456
SGPL1,0.00088572263
PFKFB3,0.00088564894
ZDHHC9,0.00088274444
SMN2,0.00088260975
TMEM158,0.00088248256
SEC16B,0.00088206516
SLC7A14,0.00088186626
SPIN3,0.00088060816
OXR1,0.0008802462
MAP2K3,0.0008802045
RPL27,0.00087779295
TARBP1,0.00087775296
RNF166,0.0008776091
SIM2,0.00087475387
PGBD1,0.0008745615
PTPLAD1,0.0008745158
MICA,0.00087385444
MYB,0.00087288953
MED31,0.00087215815
TYROBP,0.0008715056
ZRANB2,0.00087132293
PISD,0.0008704612
VAMP5,0.00087000785
PTGES,0.0008697009
RAB13,0.00086836156
PPP2R5C,0.0008678921
SLC4A11,0.00086770667
PPM1D,0.000867487
MLPH,0.00086739525
VSNL1,0.00086655153
NLK,0.00086631515
ZKSCAN5,0.0008651175
MAGEL2,0.00086366077
SDSL,0.000862997
RAPGEF4,0.0008598215
TLR7,0.0008595235
RPL32,0.0008593678
MAPK8,0.0008590975
TMEM106A,0.00085865415
TENC1,0.00085788564
NFASC,0.0008578336
ZBTB34,0.0008573818
PVRL3,0.00085693266
MKRN3,0.00085685763
TMEM43,0.00085617846
PTPRF,0.00085536885
PCDHA13,0.000854103
MRPL30,0.00085348374
TMEM53,0.0008525921
MTX2,0.00085252564
WSCD1,0.00085236033
PTRF,0.00085215084
PPP1R3B,0.0008519549
NMI,0.00085142744
PCOLCE,0.00085128215
RASEF,0.00085034716
SAMD13,0.00084999733
TCOF1,0.00084966386
RAI1,0.00084945804
PHF19,0.0008493891
QRICH1,0.0008490948
WISP1,0.00084869977
TSPY2,0.00084852503
SMARCA4,0.0008480906
RTN4IP1,0.00084781006
ZNF678,0.00084692973
PDE7B,0.0008456187
RPPH1,0.0008451482
MAT2B,0.0008447431
MRPL24,0.00084438064
SUPT16H,0.0008433662
TRIM47,0.0008431927
TNFSF13,0.0008429035
MAPRE2,0.00084262225
RFK,0.0008424163
SYNGR4,0.000841967
PRSS3,0.0008412371
RPS5,0.0008394326
SLC25A29,0.0008384496
UNKL,0.000837789
TKT,0.00083762774
ZFHX3,0.0008371979
YPEL1,0.0008370573
SFTPB,0.00083633536
RSPO2,0.0008359468
STAT6,0.00083305815
NFATC2,0.00083223014
RNASE6,0.00083100016
ZNF280D,0.0008294071
PHYHIP,0.0008292638
SNAPC2,0.0008287387
POLS,0.0008286545
TCIRG1,0.0008280518
TMEM97,0.00082800986
SLC27A2,0.0008270292
TMEM68,0.00082657347
LZTS2,0.00082630286
ZNF689,0.0008260082
SNAPC5,0.0008253601
ZNF778,0.00082515535
RPS10,0.00082440005
PCK1,0.00082363177
MRAP,0.0008234903
WNT6,0.0008231252
SCN8A,0.0008224358
TDRD5,0.00082149333
VASP,0.00082112383
POGK,0.00082051393
OAS2,0.0008203366
ROR1,0.0008199482
PHF8,0.00081939186
RASSF4,0.0008193856
SRP19,0.0008182447
NDRG1,0.0008172582
RPLP1,0.0008161835
NPY2R,0.0008160833
PSMD9,0.0008156809
MEF2C,0.0008149976
NME5,0.0008149589
REEP1,0.00081475114
TAC3,0.00081292307
ROPN1B,0.0008125568
SLC35A1,0.0008103175
PYGL,0.00081024546
YWHAB,0.0008100572
POP1,0.0008100199
PDIA4,0.00080992735
RBM33,0.0008097489
NFE2,0.000808702
PTDSS2,0.00080857653
SEMA3E,0.0008071156
TMEM87B,0.0008068882
SOX11,0.00080688094
P4HB,0.0008066852
MKS1,0.00080619415
OR7G3,0.0008060944
TGS1,0.00080608664
SYT12,0.00080590014
TRIM7,0.0008020692
SEZ6L,0.00080195896
THAP4,0.0008017116
SEH1L,0.0008006396
NDUFA5,0.00080043136
TRAPPC2L,0.0007996496
SLCO4A1,0.00079931354
OR4C45,0.0007984946
SNAPC4,0.00079825625
TPD52L2,0.0007982289
RAB11FIP1,0.000797926
PIGB,0.00079718203
OR7G2,0.00079635245
RUNDC1,0.0007959926
RAD51L1,0.00079570455
MCCC2,0.00079518236
TBXA2R,0.00079509657
SMAD9,0.0007940522
SLC32A1,0.00079341524
SOBP,0.00079315563
RAB3C,0.0007924115
SLC26A6,0.000792361
POU2F2,0.0007915025
RAB40A,0.00079139316
PCLO,0.00079137774
PEX16,0.0007901681
ZFYVE20,0.0007900962
ORC2L,0.00078986085
LYZL6,0.0007890815
SURF6,0.0007884635
VTA1,0.00078823796
ZNRF2,0.00078811875
RHOJ,0.0007875156
TMEM41B,0.0007871989
ZNF688,0.00078694086
SEC16A,0.0007866639
RUNDC3B,0.00078591285
TMEM14B,0.0007857085
RAB43,0.0007831533
SNX10,0.0007830084
TRA2A,0.000782215
UNC13D,0.00078129634
MRPL40,0.0007797897
ZNF354A,0.0007797511
SMAD2,0.0007792483
PARP4,0.00077820435
RFC1,0.0007781652
RP5-1022P6.2,0.00077811594
ZNF10,0.0007778466
NAV2,0.0007767263
SCYL3,0.00077649154
SASH1,0.0007763903
PECAM1,0.0007758195
TMEM189,0.0007752879
MITD1,0.0007746049
NUP153,0.00077414396
SYT8,0.00077353726
WSB2,0.0007735274
TUBG2,0.00077300484
RPS29,0.0007724994
ZMYM4,0.00077224075
SPANXE,0.00076923124
NRIP1,0.0007690892
SRRM2,0.0007689317
UBE2C,0.0007681407
PMS2L11,0.00076800777
PARL,0.00076742494
YY1,0.00076561415
TMEM155,0.00076536083
SIAH2,0.0007645088
NLRP3,0.000764125
RERG,0.0007640167
RABAC1,0.00076347176
TM7SF4,0.0007630843
SLC2A1,0.00076305977
NCK2,0.00076299853
RNF25,0.00076260313
PHF5A,0.0007622287
MEGF8,0.0007622279
ZNF511,0.0007618239
LYSMD2,0.0007614531
SCG3,0.0007612881
SLC25A15,0.00076066976
PRH1,0.00075989513
PKIB,0.00075903727
PNMA1,0.0007589504
SCAMP3,0.0007573879
TARS2,0.00075655925
PHTF1,0.00075651705
TOX2,0.0007552689
SEPT8,0.0007543765
TNPO1,0.00075380545
PRRG4,0.00075320725
SPAG7,0.00075232016
WDR3,0.00075122603
ZFYVE16,0.0007504003
SR140,0.00075030676
TNFRSF10D,0.0007499968
PRELP,0.0007497355
PANK2,0.0007488881
PPP1CC,0.0007481106
MAFF,0.0007480169
RHOD,0.0007476666
PCTP,0.0007472679
ZNF595,0.00074695697
WDR17,0.0007454844
MAPKAPK3,0.000745434
PPP4R1,0.00074539083
SLC7A9,0.00074537937
YWHAE,0.0007446464
SPIRE2,0.000744448
TBX6,0.00074425305
STXBP5L,0.0007439365
SLIT2,0.0007438272
TUBG1,0.00074311864
NKD1,0.00074308185
RBM14,0.0007429359
PDGFC,0.00074289716
MT1H,0.00074245105
MAN2B1,0.00074206624
PPP1R7,0.00074162846
RPP25,0.0007410608
RASSF1,0.0007409675
SYNE2,0.00074088207
TGFBR2,0.00073981885
VSIG2,0.00073858415
STXBP6,0.00073847774
SLC12A6,0.00073771935
RMND1,0.00073759997
OTOR,0.00073748245
RTN4RL1,0.00073745614
SRD5A3,0.00073744764
SLC39A9,0.000737412
RCN2,0.0007369314
USP28,0.0007364502
SERPINA1,0.00073530694
TEAD4,0.0007344312
PRAM1,0.00073420315
SYNE1,0.00073369575
PMS1,0.0007326464
SFRS1,0.0007322623
SERPINB7,0.00073218
MED26,0.00073187525
ZBTB40,0.00073160045
TNIK,0.0007311872
STX7,0.0007308417
SPATA19,0.00073014427
MLKL,0.000729887
RAD9B,0.0007298697
MOBKL2C,0.0007292705
ZNF221,0.0007284902
PPP1R14B,0.0007274864
SAMD11,0.0007273221
PSTPIP2,0.0007270048
MXD4,0.00072669936
TFDP2,0.0007263032
PTPN9,0.0007261474
NTHL1,0.0007261378
REEP4,0.0007255698
NR4A3,0.0007254693
WBP4,0.00072544155
PAPD4,0.0007252884
ZNF708,0.0007251935
NDUFA4L2,0.0007248198
NQO1,0.0007245133
ZNF200,0.0007243742
NEK11,0.00072425755
STX8,0.00072119327
SLC1A2,0.00072049466
PSMD12,0.00072045275
TTC8,0.00071969535
PLDN,0.0007196897
SH3BP2,0.0007193187
THSD7A,0.00071930344
VPS41,0.0007186863
NAPG,0.0007186592
NOLC1,0.00071791926
MCHR2,0.0007178858
TNFAIP8L3,0.00071732525
TEX10,0.0007170605
RIOK1,0.00071665796
REXO4,0.0007164098
PCID2,0.00071516715
OLA1,0.0007148817
PDE1B,0.00071446516
TRMT5,0.0007141924
TMEM169,0.00071397884
ZNF57,0.000713967
ZNF441,0.00071375613
SYT1,0.0007137149
WDFY2,0.00071350636
VPS4B,0.00071306474
RWDD2A,0.0007125823
PCDH7,0.00071239186
SERTAD1,0.0007122997
TCEAL2,0.0007122927
NDUFA11,0.00071227277
PLOD2,0.00071213185
WDR89,0.0007093405
NOL11,0.00070880033
THPO,0.00070878206
MRPL28,0.00070846605
TNFRSF11B,0.00070772914
TAF4B,0.00070743274
SMO,0.00070711423
SIX1,0.00070678693
MRPL55,0.00070675806
RPS27L,0.00070625107
TM2D2,0.00070607214
ZNF667,0.0007059796
MDH2,0.0007059324
ZMIZ2,0.00070588297
TOB2,0.00070577534
MAD2L1BP,0.00070527394
USP12,0.00070503575
NPPC,0.00070398743
RNASET2,0.0007039688
ST6GALNAC3,0.0007035767
TSPAN7,0.00070223317
TBC1D8B,0.0007020802
SLC1A7,0.00070175464
RNASE3,0.0007016024
RAB3IL1,0.0007013387
ZNF229,0.0007012582
UAP1L1,0.0007010173
PHB,0.0007000765
TCF7,0.0006998001
SLC22A1,0.0006988835
PTBP2,0.00069878314
TCEAL3,0.00069787697
PLK2,0.00069773843
PTPN13,0.0006972919
PRKAA2,0.0006969176
OXA1L,0.00069653854
XCL2,0.0006962321
RPS14,0.0006960481
RCC1,0.00069601904
UPK1A,0.0006955477
PLCB4,0.00069505384
YARS,0.0006937503
SETD1A,0.00069361244
ZNF711,0.0006923254
NDUFB7,0.0006921562
PLEK2,0.00069171516
ZW10,0.00069111097
NLRC4,0.000690997
RANBP1,0.0006909969
MMP24,0.0006899889
MARK1,0.00068973465
TTLL11,0.00068965653
POLR3E,0.0006887957
USP3,0.00068870327
ZNF175,0.0006877085
PFDN6,0.0006872187
SULT1C2,0.00068721565
NCOR2,0.00068710523
MYCBP2,0.0006869791
PAK6,0.00068689685
MFSD8,0.0006867568
TOMM22,0.00068673666
PLEKHA7,0.00068659225
SNRPE,0.0006861174
PKN3,0.0006858616
SCHIP1,0.0006850651
WDR5B,0.0006848661
MAST3,0.00068475236
SEL1L,0.0006846977
NUDT6,0.00068392383
SCG2,0.0006838526
RAB22A,0.00068372436
SLC22A9,0.000683617
SLC39A11,0.00068301376
PPM1M,0.00068230025
NUFIP1,0.00068220386
TDGF3,0.0006819108
RINT1,0.0006816507
ZNF101,0.00068059925
RBM20,0.0006803924
MTRR,0.0006797173
RAC2,0.0006793817
NDST1,0.00067913206
ZNF605,0.0006786152
WDR64,0.00067852676
ZNF774,0.00067809905
TBXAS1,0.00067793555
PSEN2,0.00067750865
NXF1,0.0006765663
PLEKHG5,0.0006762386
TRAF3IP2,0.0006761717
SEMA4B,0.00067604776
NDUFA8,0.0006760106
SYT14,0.0006751319
ZNF85,0.0006750572
PTAR1,0.0006742478
PELI2,0.00067365216
TXLNB,0.0006735547
NME6,0.00067269773
NIF3L1,0.0006724713
SELK,0.0006721689
NRBP2,0.0006717683
TRIM68,0.00067175494
NHLH2,0.00067166367
TMC8,0.00067034346
TMED5,0.00066955993
PNOC,0.000669242
TIPRL,0.00066876085
PLCXD2,0.0006684
NDEL1,0.0006676174
PCMT1,0.0006675249
STOML1,0.0006674463
SAR1A,0.00066659536
TSR2,0.000666279
THRAP3,0.0006658721
PSMG1,0.00066579215
ZNF706,0.00066562236
SPAG6,0.0006654042
TM2D1,0.0006650919
TNRC6A,0.00066507177
TMEM145,0.0006649351
SFRS12,0.00066459185
PTOV1,0.0006642796
SNCB,0.000664118
RBP1,0.0006640436
SIRT5,0.0006637198
TSPY1,0.0006635728
MYT1L,0.00066350296
MLXIP,0.00066341256
MRPS23,0.0006627281
MRPS21,0.0006626571
TUBA1C,0.00066221325
PDE6A,0.0006609965
PPP2R5B,0.00066032336
PRKAG1,0.00066027144
SRL,0.0006599093
MAN1A1,0.00065963494
PRMT3,0.00065936777
RIPK4,0.0006586265
TMEM177,0.0006583618
MYO1E,0.00065801543
TEP1,0.0006577426
RUNX3,0.00065766723
OR2B11,0.0006573904
POLR2I,0.00065705396
PRDX2,0.00065704284
PRMT6,0.0006569396
SH3TC1,0.00065667403
ZNF280B,0.00065651775
TBCE,0.0006561275
ZNF23,0.0006560549
TAPBP,0.0006553289
PDXDC1,0.0006544847
VCP,0.00065437844
SGPP1,0.00065378693
SLC45A1,0.00065336813
MRPL45,0.00065332965
POLR3G,0.0006531469
NUAK1,0.00065249
MAGI3,0.0006516698
SYNGAP1,0.000651556
PPARGC1A,0.0006512331
ZNF681,0.00065109314
PRKCH,0.00065077975
NCOA5,0.0006507477
SLC30A3,0.0006506775
SLC25A25,0.000650516
MOGAT1,0.00065020536
SNORD59A,0.00064934406
PRMT5,0.0006493087
WBP11P1,0.0006489799
RBM23,0.0006486009
RASGEF1C,0.0006485011
ORC5L,0.0006479933
RNF144B,0.0006479058
STC1,0.0006478074
RBM11,0.0006477109
PTPMT1,0.0006476743
RAF1,0.00064759934
PHACTR3,0.0006470714
PPM1A,0.00064696104
STK17A,0.00064695417
MEMO1,0.00064670667
TUBA3C,0.00064646814
VKORC1,0.000646393
PIM3,0.0006457266
UBL4A,0.0006455436
MEOX1,0.0006450939
TTC3,0.00064495567
RANGRF,0.00064435415
OR7A17,0.000643071
SACS,0.00064235786
OR51M1,0.0006423341
TMPRSS11A,0.0006416791
ZNF600,0.0006416086
ZC3H7B,0.0006415793
RERE,0.000639853
RIMS3,0.0006397786
SEMA3A,0.00063894986
SLC6A20,0.0006385387
TJP1,0.0006385022
UHRF1,0.0006377622
STAMBPL1,0.00063713256
PIAS1,0.00063693407
SLC16A8,0.00063616777
ZC3HAV1,0.0006360117
SCARB1,0.00063554797
SLC19A1,0.00063552335
SUCNR1,0.0006354277
PIGR,0.00063541555
NLN,0.0006352493
WDR45,0.00063520984
NDFIP2,0.0006350304
ZNF438,0.0006348824
PCDHB3,0.0006345068
RHOT1,0.0006344601
PGRMC1,0.00063418987
ZNF410,0.00063291594
RIC8B,0.0006328462
SELL,0.0006328322
MGST2,0.0006318103
TWF2,0.0006314466
NDUFS4,0.0006308362
RNF34,0.0006308117
MGC2889,0.00063064427
TUBA1A,0.00063030503
WDR59,0.00063007773
MSR1,0.0006296804
SKI,0.0006296223
SLC17A6,0.00062919204
SLC20A1,0.00062866515
PSMD13,0.00062865665
MAPK8IP2,0.0006284406
SNX24,0.0006277634
TACC2,0.0006275175
NFAM1,0.0006271582
PRKCD,0.00062706135
PLA2G4B,0.0006270456
PPP2R2B,0.0006270122
TREM1,0.0006265023
ZWILCH,0.00062631903
TRAIP,0.00062612037
PLEKHG2,0.00062532723
ZNF692,0.00062531285
NALCN,0.0006249284
NFS1,0.0006248556
SV2B,0.0006247201
VENTX,0.0006245769
LYSMD4,0.00062431267
STK4,0.00062389096
PPP2R1B,0.0006238269
PTPN18,0.0006236966
TMEM70,0.0006235267
MYO9B,0.00062352436
MRPS5,0.0006234749
TERF2IP,0.00062343065
RNF215,0.00062275765
WHSC1,0.00062266964
SLC39A8,0.00062243873
TIMM23,0.0006222918
MRPL20,0.00062228896
STAT5B,0.0006221677
RALB,0.00062215974
TLR6,0.00062168733
TNFAIP8,0.00062144356
XPNPEP1,0.0006213235
MT1B,0.00062123
TINAGL1,0.00062045746
USP14,0.0006202754
TIMP3,0.00062005105
TLX3,0.00061996636
STYK1,0.000619828
SLC5A8,0.000619515
TRO,0.00061944296
TPPP,0.000618807
PRB1,0.000617748
PHIP,0.00061706244
TNIP3,0.0006170474
RAB6B,0.00061701157
PLCG1,0.0006168685
ZNF329,0.00061682385
TFB2M,0.00061671686
PPCS,0.0006166342
NCALD,0.0006165335
PRPF3,0.0006161276
PRKACA,0.0006160789
PAIP2,0.0006156958
MYH2,0.000615514
PSMA5,0.00061529485
SLC6A6,0.0006149537
RXFP4,0.0006148898
POLR1A,0.0006147117
RASSF3,0.0006142406
SCIN,0.00061379006
TMSB4Y,0.0006137719
SPTBN5,0.00061210286
NFKB2,0.000611766
UBE3C,0.00061150646
SMUG1,0.000610434
PLB1,0.0006101466
MEPCE,0.00060988945
NRXN3,0.0006098202
RGMA,0.00060978334
PLEK,0.0006096048
PPP1R12B,0.0006095045
STOX1,0.0006088393
TH1L,0.0006082344
NEUROD6,0.0006080332
SLC25A30,0.0006072662
OR2AG1,0.00060647185
PRKD2,0.0006064059
USP19,0.0006060529
RASAL1,0.000605839
TMBIM1,0.000605721
TMEM56,0.00060559827
MORC2,0.0006054409
MBD1,0.0006051306
TMEM57,0.000603859
OR7C1,0.0006033868
MAPK4,0.000603283
OR2A42,0.0006030182
STAB1,0.00060205883
PGBD5,0.00060198945
ZDHHC23,0.0006010744
SLC30A10,0.00060042634
NRG3,0.00060032617
ZBTB1,0.0005999295
SH3BGRL3,0.000599418
PRPH2,0.0005992048
SERP1,0.000599151
MACF1,0.0005987138
PACSIN1,0.0005984638
WDR60,0.0005984236
NPC2,0.0005980948
YWHAQ,0.0005977873
TCP10L,0.00059761474
RBPJL,0.0005975725
XKR9,0.0005974507
PIGM,0.000596904
SKP1,0.00059651077
MGAT3,0.0005965028
TPP2,0.0005960586
NCOA4,0.0005953182
PLD3,0.00059485825
MAML2,0.0005934734
RARRES2,0.00059245835
PTCRA,0.00059244165
TFCP2L1,0.00059235725
NFRKB,0.00059226877
SNX22,0.0005919738
WDR36,0.0005918921
TUBGCP6,0.00059182406
ZNF512,0.00059134554
TXNDC9,0.0005903596
MRPS18A,0.0005903583
PDE4A,0.0005902272
TRHDE,0.0005897762
PARD3,0.0005891947
ZFP62,0.0005891649
MARCH1,0.00058881845
NEDD4,0.00058860786
SLC18A1,0.00058852404
UBQLN4,0.00058770075
WDR37,0.0005874126
SLC30A4,0.000586779
VEZT,0.00058676663
ZNF509,0.0005863373
ZNF570,0.0005862059
WWP2,0.00058598345
TOMM7,0.0005856054
MRPS6,0.0005852604
WFIKKN1,0.00058511016
SAPS3,0.0005849792
PLCG2,0.00058450276
SWAP70,0.0005844995
OR4K2,0.00058435096
RCVRN,0.00058434444
